Player Name,Position,School,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Drafttech,CBS,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
Ceyair Wright,CB,Nebraska,Senior,6'0,180,,,230,,,,,,,,,,,
Ceyair Wright,CB,Nebraska,Senior,6'0,190,,393,,,,,,,,,,,,
Chamon Metayer,TE,Arizona State,Senior,6'4,255,,380,,,,267,,,,,,,,
Chandler Rivers,CB,Duke,Senior,5'10,185,4.45,68,70,56,73,,,,,,,,,
Channing Canada,CB,TCU,Senior,6'1,190,,,,121,,167,,,,,,,,
Charles Demmings,CB,Stephen F. Austin,Senior,6'1,190,,363,,176,,158,,,,,,,,
Chase Mason,QB,South Dakota State,Senior,6'4,240,,376,,,,,,,,,,,,
Chase Roberts,WR,BYU,Senior,6'4,210,4.5,156,122,,,125,,,,,,,,
Chip Trayanum,RB,Toledo,Senior ,5'11,227,,230,,,,205,,,,,,,,
Chris Hilton Jr,WR,LSU,Senior,6'0,190,4.35,305,307,,,,,,,,,,,
Christian Gray,CB,Notre Dame,Junior,6'0,188,4.45,,217,,,,,,,,,63,,
Christian Leary,WR,Western Michigan,Senior,5'10,180,4.4,,245,,,,,,,,,,,
CJ Donaldson,RB,Ohio State,Senior ,6'2,232,,277,,,,266,,,,,,,,
Clayton Smith,DL,Arizona State,Senior,6'5,255,4.64,,258,,,243,,,,,,,,
Cody Jackson,WR,Tarleton State,Junior,6'0,175,4.44,,301,,,,,,,,,,,
Colby Young,WR,Georgia,Senior,6'3,215,4.6,312,204,,,141,,,,,,,,
Cole Brevard,DL,Texas,Senior,6'3,346,,159,,,,257,,,,,,,,
Cole Payton,QB,North Dakota State,Senior,6'3,233,,209,,151,,181,,,,,,,,
Cole Wisniewski,S,Texas Tech,Senior,6'4,220,,192,,,,236,,,,,,,,
Collin Wright,CB,Stanford,Senior,6'0,195,,361,,96,,,,,,,,,,
Conner Wegman,QB,Houston,Junior,6'3,210,4.85,,161,,,,,,,,,,,
Conor Talty,K,Alabama,,,,,,,,,,,,,,,,,
Corey Walker,EDGE,Wisconsin ,Senior,6'5,290,,390,,,,,,,,,,,,
Cormani McLain,CB,Florida,Sophomore,6'2,189,4.48,,223,,,,,,,,,,,
Da'Shawn Womack,EDGE,Auburn,,6'5,265,,346,,,,,,,,,,,,
Dacari Collins,WR,Louisville,Senior,6'4,215,4.51,,247,,,,,,,,,,,
Dae'Quan Wright,TE,Mississippi,Senior,6'4,255,,155,,116,138,110,,,,,,,,
Dalton Johnson,S,Arizona,Senior,5'11,198,,,,,,233,,,,,,,,
Damari Brown,CB,Miami,Junior,6'1,190,,,201,,,179,,,,,,,,
Damari Lyons,DL,Florida,Junior,6'4,318,,,206,,,,,,,,,,,
Damarius McGhee,CB,Florida Atlantic,Senior,6'0,175,4.49,,306,,,,,,,,,,,
